1	Australian Tropical Territories	16	97		93	52	89	66	8	67	100	94	78	82
2	Australian Southern Ocean Territories	14	97				89	66	8	88	1	95	100	81
3	New Caledonia	13	88	94	48	62	100	88	18	70	2	79	73	74
4	Vanuatu	2	76	6	64	48	100	100	13	70	1	67	84	78
5	Solomon Islands	9	70	62	49	69	100	100	1	70	0	71	75	75
6	Palau	15	80	1	64	66	75	75	85	67	0	81	98	77
7	Micronesia	15	68	8	93	80	75	55	5	67	0	79	98	74
8	Nauru	11	75			97	80	70	13	79	0	78	99	71
9	Marshall Islands	7	74	71	86	87	80	55	0	72	0	71	97	75
10	Taiwan	45	95	38	95	50	48	72	3	65	11	61	98	79
11	Philippines	4	78	40	61	69	100	43	0	64	26	69	75	73
12	Australia	40	97	40	92	59	86	69	1	87	78	93	94	80
13	Papua New Guinea	0	72	8	76	64	95	96	0	68	7	71	85	73
14	Fiji	20	72	40	54	85	68	52	16	64	0	72	78	73
15	Tuvalu	3	73			100	76	73	3	73	0	82	100	74
16	South Korea	54	96	76	0	0	79	97	4	77	33	68	41	74
17	North Korea	17	63	21		93	45	67	1	72	0	62	100	72
18	Cambodia	3	79	0	50	83	52	44	2	59	44	67	81	77
19	Thailand	41	89	50	65	41	97	51	6	63	51	81	82	78
20	Comoros	6	60		84	32	95	42	0	59	2	62	88	71
21	French Indian Ocean Territories	37	77	0	90	50	96	78	6	66	6	54	96	77
22	Seychelles	12	89	83	100	84	96	87	55	66	43	72	98	75
23	Mauritius	0	86	44	89	83	68	76	25	64	10	74	95	77
24	British Indian Ocean Territory	4	79			100	67	62	7	57	97	70	100	72
25	Maldives	0	77	1	85	75	100	63	30	66	0	83	90	72
26	Sri Lanka	14	74	7	74	34	71	44	0	62	15	73	97	74
27	Mozambique	11	62	7	96	67	100	100	0	67	36	67	93	75
28	Madagascar	2	60	78	66	44	69	76	0	65	4	71	83	73
29	Kenya	15	75	32	79	56	98	47	1	67	34	64	81	74
30	Somalia	1	54	65	46	34	96	71	16	66	0	68	63	70
31	Eritrea	7	66	6	84	87	96	51	0	61	0	67	92	76
32	Djibouti	3	74	0		97	96	89	2	74	2	76	100	79
33	Yemen	0	76	15	68	34	100	16	0	65	0	65	90	73
34	Oman	32	90	45		99	100	38	9	62	35	84	98	77
35	Sudan	5	70	0	82	35	67	58	0	69	0	74	95	74
36	Saudi Arabia	34	88	23	81	34	100	93	3	69	16	76	94	80
37	Kuwait	3	97	6	86	25	100	78	0	56	0	79	97	81
38	Bahrain	4	95	15	58	49	100	22	53	52	0	74	75	81
39	Pakistan	13	75	51	29	29	100	45	0	74	22	68	57	72
40	United Arab Emirates	15	96	49	93	38	100	98	27	68	0	87	98	83
41	Cape Verde	27	74				100	100	10	73	0	75	99	73
42	Belgium	11	95	75	100	100	61	56	4	58	5	71	99	82
43	Gibraltar	1	96				74	61	25	60	0	67	100	74
44	Tunisia	23	89	75			99	69	6	73	0	74	97	77
45	Morocco	0	81	46			100	66	2	65	8	66	90	70
46	Western Sahara	4	67				92	59	2	63	44	76	99	65
47	Mauritania	28	72	86			94	37	0	70	100	69	97	74
48	Gambia	4	75		57	57	96	100	1	83	0	54	75	71
49	Senegal	7	72	9	34	5	98	82	0	68	74	55	51	71
50	Libya	9	81	44			59	16	0	66	0	76	100	76
51	Malta	13	94	0	87	87	99	4	82	66	26	80	93	80
52	Latvia	9	91	53	54	75	45	71	7	63	78	74	79	86
53	Estonia	28	95	95	100	88	70	47	5	64	100	77	98	90
54	Bulgaria	6	89	18			57	31	12	72	33	72	100	73
55	Romania	7	90	4			55	41	1	73	100	77	100	79
56	Russia	53	91	1	100	93	98	34	0	72	64	97	100	90
57	Georgia	7	86	100			99	85	3	72	3	73	100	75
58	Ukraine	16	83	90	83	83	86	39	1	71	33	68	93	75
59	Turkey	19	91	34			94	58	5	66	0	72	89	78
60	Syria	7	84	4			98	67	4	64	0	58	97	87
61	Lebanon	5	88	35			92	85	2	62	0	59	90	87
62	Israel	10	96	62	91	91	98	80	5	55	2	65	95	89
63	Greece	18	95	39			87	57	16	67	20	83	96	85
64	Cyprus	9	95	0			49	16	79	64	8	77	97	93
65	Albania	10	88	0			100	100	1	65	30	85	100	80
66	Algeria	0	85	0			65	59	0	67	1	65	89	74
67	French Southern Ocean Territories	3	96				77	73	21	51	0	88	100	80
68	British Southern Ocean Territories	13	97	0			76	74	21	59	1	86	95	81
69	Sierra Leone	21	70	0	23	5	76	99	0	74	0	53	50	72
70	Liberia	7	54	0	22	22	100	100	4	70	12	54	57	72
71	Togo	9	58	0	98	98	95	96	0	62	0	45	99	71
72	Benin	10	64		99	99	41	18	0	67	0	22	100	74
73	Republic of the Congo	9	76	0	27	27	79	56	0	70	74	62	54	72
74	Namibia	26	95	15			100	100	12	66	53	90	97	76
75	South Africa	15	92	15	79	25	100	50	2	71	61	68	89	74
76	Sao Tome and Principe	53	66	9			100	95	1	57	0	61	100	76
77	Equatorial Guinea	1	88		81	81	8	3	1	64	52	62	92	70
78	Ghana	8	69	14	68	17	100	28	0	69	5	46	76	75
79	Clipperton Island					100				78	0	82	100	78
80	Bahamas	10	96	88	65	36	94	88	87	66	2	82	77	84
81	Cuba	16	92	4	100	23	89	58	8	67	37	71	78	80
82	Haiti	3	66	34	60	21	100	100	0	63	3	49	66	77
83	Dominican Republic	26	85	67	49	77	93	87	12	67	0	62	80	79
84	USA Caribbean Territories	25	94		100	43	86	72	5	72	29	67	95	80
85	British Caribbean Territories	5	93	1	79	43	93	78	100	73	36	85	86	78
86	Saint Kitts and Nevis	3	94		100	55	98	56	41	71	0	75	95	85
87	Antigua and Barbuda	7	93		100	33	97	100	96	75	30	73	86	81
88	Saint Lucia	7	93	0	26	71	65	61	51	73	1	71	70	85
89	Dominica	5	92	0	26	9	98	75	34	79	2	69	60	81
90	Barbados	8	93	3	27	48	100	100	60	71	0	72	81	79
